comment,author,date,num_likes
덕개님하고 공료님 너무너무 귀여워요😊,@user-kg8mh8sv5h,2024-02-02T12:18:02Z,0
ㅋㅋㅋㅋㅋ<br>변신이 거이 편짐 2시간 걸릴것 갓 은데 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,@user-nt5kz3ek7u,2024-02-02T11:18:19Z,0
이거  2화도 있는거죠?....ㅠㅜ,@user-vz8mh1we2k,2024-02-02T08:02:31Z,0
"<a href=""https://www.youtube.com/watch?v=NRIm0cuQ3bE&amp;t=1961"">32:41</a> 라더님 스킨 재탕?",@user-ns2dv2to2d,2024-02-01T16:18:51Z,0
"<a href=""https://www.youtube.com/watch?v=NRIm0cuQ3bE&amp;t=1721"">28:41</a>",@_mudan,2024-02-01T14:54:19Z,0
중간중간 안 끊을수가 없는 영상….,@_mudan,2024-02-01T14:51:25Z,0
내가 잠뜰TV에서 이런 마법소녀물을 볼줄이야..ㅋㅋ 이거 2편 나오면 좋겠다ㅋㅋ,@user-oi7hg2bu9l,2024-02-01T13:25:19Z,0
헐 대박!! 너무 멋지네요💗,@user-qt9dx1zv6n,2024-02-01T12:36:02Z,0
왜 손 발이 오그라 들지 근데 재밌어 큐큐큐,@ashley4677,2024-02-01T11:01:14Z,0
라더님 변신 넘좋닿ㅎㅎ흐흐흐흐ㅡ,@Luna_Sapphire,2024-02-01T07:01:56Z,0
아니 덕개 연기 겁나 잘한다니까?!!!,@user-kd9uf1hl4k,2024-02-01T01:38:01Z,0
나  만화동아리다!!!!!! 바로 라더에 친구 몬스다,@user-un9du6ml8m,2024-01-31T22:53:35Z,0
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ아 변신 퀄리티가 거의 레이디버xㅋㅋㅋㅋ  영상 보는 내내 웃었다ㅋㅋ,@No_plan000,2024-01-31T13:37:35Z,0
"<a href=""https://www.youtube.com/watch?v=NRIm0cuQ3bE&amp;t=374"">6:14</a> 덕님 ㄱㅇㅇ 나만 들을거야",@user-dz7hb3ok8s,2024-01-31T08:19:40Z,0
"<a href=""https://www.youtube.com/watch?v=NRIm0cuQ3bE&amp;t=1962"">32:42</a> 수이웃 랃님 처럼 생겼다",@user-wz6bl9qu2t,2024-01-31T04:59:32Z,0
덕개님 텐션 너무 귀여우신 거 아닌가욬ㅋㅋㅋ😂,@user-uy3pb3ik7h,2024-01-31T04:19:21Z,0
"<a href=""https://www.youtube.com/watch?v=NRIm0cuQ3bE&amp;t=1551"">25:51</a> 에 잠뜰님에 워워워 하는거 냠 가엽자나&gt;&lt;",@bhdjs-wt7tq,2024-01-31T02:11:46Z,1
이거 2편 해주세용!,@user-xm7cr8pw2e,2024-01-31T02:07:56Z,0
라더님은 겁나 간지나는데 잠뜰님은 왜....ㅋㅋㅋㅋㅋㅋㅋㅋ,@user-kv2kc8rb8o,2024-01-30T16:54:44Z,1
혹시 2편 있나요?,@user-me5sv6xp6x,2024-01-30T14:50:51Z,0
"오 그냥 염소(Cl) 빔(?) 쏴서 악당 치면 원펀걸 되는거 아님ㅋㅋㅋ?<a href=""UCg7rkxrTnIhiHEpXY1ec9NA/a86kYMW-LsTm8gSVn53gBg""></a>",@moreening,2024-01-30T13:26:27Z,2
ㅋㅋㅋ,@user-tk3kv1wz9p,2024-01-30T13:22:00Z,1
